Date,portfolio_value,daily_return,reward,cash,shares,price
2026-04-06,132613.4118811319,0.0,0.0,132613.4118811319,0.0,658.9299926757812
2026-04-07,132613.4118811319,0.0,0.0,132613.4118811319,0.0,659.219970703125
2026-04-08,132613.4118811319,0.0,0.0,132613.4118811319,0.0,676.010009765625
2026-04-09,133245.09227403847,0.004763322079917313,0.0037633220799173127,0.0,195.9746106646887,679.9099731445312
2026-04-10,133156.91326831214,-0.0006617805145496434,-0.0006617805145496434,0.0,195.9746106646887,679.4600219726562
2026-04-13,134458.1755925065,0.009772397784351704,0.009772397784351704,0.0,195.9746106646887,686.0999755859375
2026-04-14,136096.53242828246,0.01218488075237024,0.01218488075237024,0.0,195.9746106646887,694.4600219726562
2026-04-15,137170.46946709586,0.007890994867039102,0.007890994867039102,0.0,195.9746106646887,699.9400024414062
2026-04-16,137507.54005599543,0.002457311622604225,0.002457311622604225,0.0,195.9746106646887,701.6599731445312
2026-04-17,139169.41288814388,0.012085685130224198,0.012085685130224198,0.0,195.9746106646887,710.1400146484375
2026-04-20,138891.1203288345,-0.001999667552905773,-0.001999667552905773,0.0,195.9746106646887,708.719970703125
2026-04-21,137981.8072259695,-0.006546949154936231,-0.006546949154936231,0.0,195.9746106646887,704.0800170898438
2026-04-22,139379.107156916,0.01012669683807061,0.01012669683807061,0.0,195.9746106646887,711.2100219726562
2026-04-23,138838.2153176669,-0.0038807239498251413,-0.0038807239498251413,0.0,195.9746106646887,708.4500122070312
2026-04-24,139914.1140164015,0.007749297960024116,0.007749297960024116,0.0,195.9746106646887,713.9400024414062
2026-04-27,140155.15895988993,0.0017228064887019135,0.0017228064887019135,0.0,195.9746106646887,715.1699829101562
2026-04-28,139473.17114240595,-0.004865948728146045,-0.004865948728146045,0.0,195.9746106646887,711.6900024414062
2026-04-29,139451.61680595466,-0.000154541093994898,-0.000154541093994898,0.0,195.9746106646887,711.5800170898438
2026-04-30,140839.10843729516,0.009949627427204205,0.009949627427204205,0.0,195.9746106646887,718.6599731445312
2026-05-01,141229.1079600443,0.0027691138283708156,0.0027691138283708156,0.0,195.9746106646887,720.6500244140625
2026-05-04,140711.7321171677,-0.0036633796697417348,-0.0036633796697417348,0.0,195.9746106646887,718.010009765625
2026-05-05,141840.54778841085,0.008022185884992239,0.008022185884992239,0.0,195.9746106646887,723.77001953125
2026-05-06,143812.05189324397,0.013899439445017437,0.013899439445017437,0.0,195.9746106646887,733.8300170898438
2026-05-07,143371.10901924843,-0.0030661051573262622,-0.0030661051573262622,0.0,195.9746106646887,731.5800170898438
2026-05-08,144554.7913615804,0.008256073001242228,0.008256073001242228,0.0,195.9746106646887,737.6199951171875
2026-05-11,144884.02727213615,0.0022775855954315963,0.0022775855954315963,0.0,195.9746106646887,739.2999877929688
2026-05-12,144664.53666509897,-0.0015149399914519903,-0.0015149399914519903,0.0,195.9746106646887,738.1799926757812
2026-05-13,145473.91276405143,0.0055948480367802944,0.0055948480367802944,0.0,195.9746106646887,742.3099975585938
2026-05-14,146622.32111182465,0.007894256268722618,0.007894256268722618,0.0,195.9746106646887,748.1699829101562
2026-05-15,144858.54961584246,-0.012029351892724516,-0.012029351892724516,0.0,195.9746106646887,739.1699829101562
2026-05-18,144756.6509520087,-0.0007034356211904411,-0.0007034356211904411,0.0,195.9746106646887,738.6500244140625
2026-05-19,143792.4472553729,-0.0066608593822431545,-0.0066608593822431545,0.0,195.9746106646887,733.72998046875
2026-05-20,145266.1801552005,0.010249028568310458,0.010249028568310458,0.0,195.9746106646887,741.25
2026-05-21,145554.25709143392,0.0019830970699830663,0.0019830970699830663,0.0,195.9746106646887,742.719970703125
2026-05-22,146126.51156674032,0.003931554368395574,0.003931554368395574,0.0,195.9746106646887,745.6400146484375
2026-05-26,147096.58828179873,0.006638608590990359,0.006638608590990359,0.0,195.9746106646887,750.5900268554688
2026-05-27,147071.11062550504,-0.00017320358406192914,-0.00017320358406192914,0.0,195.9746106646887,750.4600219726562
2026-05-28,147882.4364230377,0.0055165545026621705,0.0055165545026621705,0.0,195.9746106646887,754.5999755859375
2026-05-29,148250.86964799458,0.002491392716190652,0.002491392716190652,0.0,195.9746106646887,756.47998046875
2026-06-01,148654.57686751022,0.002723135590868334,0.002723135590868334,0.0,195.9746106646887,758.5399780273438
2026-06-02,148856.43645793851,0.0013579103629497297,0.0013579103629497297,0.0,195.9746106646887,759.5700073242188
2026-06-03,147811.88843392025,-0.007017150543661025,-0.007017150543661025,0.0,195.9746106646887,754.239990234375
2026-06-04,148370.4232511192,0.003778686701838976,0.003778686701838976,0.0,195.9746106646887,757.0900268554688
2026-06-05,144541.07170347296,-0.025809399634622684,-0.025809399634622684,0.0,195.9746106646887,737.5499877929688
2026-06-08,144868.3459541075,0.0022642301373407827,0.0022642301373407827,0.0,195.9746106646887,739.219970703125
2026-06-09,144443.0843981406,-0.002935503633772485,-0.002935503633772485,0.0,195.9746106646887,737.0499877929688
2026-06-10,142165.8603791242,-0.015765545498457354,-0.015765545498457354,0.0,195.9746106646887,725.4299926757812
2026-06-11,144582.23067779528,0.01699683941156588,0.01699683941156588,0.0,195.9746106646887,737.760009765625
2026-06-12,145364.16746053283,0.005408249541260137,0.005408249541260137,0.0,195.9746106646887,741.75
2026-06-15,147927.51871720245,0.017633996750716297,0.017633996750716297,0.0,195.9746106646887,754.8300170898438
2026-06-16,147045.63296921135,-0.005961607114339711,-0.005961607114339711,0.0,195.9746106646887,750.3300170898438
2026-06-17,145209.3518241905,-0.012487831892330575,-0.012487831892330575,0.0,195.9746106646887,740.9600219726562
2026-06-18,146342.0788539351,0.0,0.0,0.0,195.9746106646887,746.739990234375
