Date,ppo_agent,buy_and_hold,moving_average,random
2025-07-14,126040.3790029253,131496.43132544047,113466.52557690027,105280.66408643436
2025-07-15,126461.76075505449,131936.0539056722,113845.87006740276,105280.66408643436
2025-07-16,127235.66238427305,132743.45628929103,114542.56686965289,105280.66408643436
2025-07-17,127142.47813390491,132646.23826697087,114458.67872831752,105280.66408643436
2025-07-18,127383.56270521962,132897.75893857068,114675.71257805421,105280.66408643436
2025-07-21,127401.78903019875,132916.7742470765,114692.12063542263,105280.66408643436
2025-07-22,128485.66183619923,134047.5658801011,115667.86572947146,105280.66408643436
2025-07-23,128528.19817129297,134091.9435336018,115706.1586177668,105280.66408643436
2025-07-24,129071.14233920895,134658.3907392886,116194.93839455752,105280.66408643436
2025-07-25,129038.73311412736,134624.57857945564,116165.76233053948,105280.66408643436
2025-07-28,128698.380607309,134269.49284904663,115859.36356590889,104897.97287638638
2025-07-29,128536.30975147364,134100.40624892054,115713.4609825115,104765.87405618952
2025-07-30,128054.1406088442,133597.36490572093,115279.39328303811,104661.10818213334
2025-07-31,125955.28160231044,131407.6502174777,113389.91753700245,104661.10818213334
2025-08-01,127869.7752727257,133405.01873894897,115113.42032824639,104661.10818213334
2025-08-04,127221.47948417057,132728.6594379639,114529.79886300325,104661.10818213334
2025-08-05,128195.95724465528,133745.32051851152,115407.06221788091,104661.10818213334
2025-08-06,128088.57772897097,133633.29274438357,115310.39493824233,104661.10818213334
2025-08-07,129087.3531343566,134675.3032694454,116209.53199239334,104661.10818213334
2025-08-08,128832.0856629394,134408.98574651848,115979.730136007,104661.10818213334
2025-08-11,130203.63516543868,135839.90706230293,117214.45315046023,104661.10818213334
2025-08-12,130649.33929289618,136304.9048880102,117615.69360354323,104661.10818213334
2025-08-13,130661.4942979535,136317.58606050766,117626.63601900669,104566.17451803808
2025-08-14,130355.5789112619,135998.42816876128,117351.23890958032,104321.35563023627
2025-08-15,130327.21311105695,135968.83446610702,117325.70289628104,104298.65496214341
2025-08-18,129620.17019226044,135231.18498146444,116689.19494490676,103732.8205238044
2025-08-19,129275.76189535174,134871.86789339606,116379.14499790383,103629.0877032806
2025-08-20,128757.12773755039,134330.78303270414,115912.25005204004,103629.0877032806
2025-08-21,130734.42432829735,136393.6730954923,117692.29051178749,103629.0877032806
2025-08-22,130159.05857008608,135793.40082949187,117174.32353932514,103629.0877032806
2025-08-25,130704.03063304724,136361.96371400837,117664.92890730203,103629.0877032806
2025-08-26,131001.84680477185,136672.67179091665,117933.03478363728,103629.0877032806
2025-08-27,131465.77725720848,137156.68492512975,118350.6832940887,103629.0877032806
2025-08-28,130681.74851797777,136338.71704784315,117644.86966756127,103629.0877032806
2025-08-29,129713.36680784226,135328.41590426528,116773.09421789572,103629.0877032806
2025-09-02,130416.35393654845,136061.8340312485,117405.95098689765,103629.0877032806
2025-09-03,131506.29806247074,137198.95980028145,118387.16172285144,103629.0877032806
2025-09-04,131125.4247503901,136801.59919472077,118044.2845294581,103225.62442597182
2025-09-05,131447.55093222935,137137.66961662393,118334.27523672029,103122.39880154585
2025-09-08,131751.43842387578,137454.7118295406,118607.84675496048,103122.39880154585
2025-09-09,132132.3117359564,137852.07243510132,118950.72394835381,103122.39880154585
2025-09-10,133230.35507684568,138997.64801897237,119939.22591739871,103875.38516941234
2025-09-11,133185.7784814931,138951.14178616132,119899.09630626363,103840.63024431196
2025-09-12,133894.84929533477,139690.9069496336,120537.42984882409,104393.469751928
2025-09-15,133710.49632442996,139498.57368334229,120371.46802568594,104289.07628217607
2025-09-16,133544.36967850427,139325.2557255568,120221.9142599162,104289.07628217607
2025-09-17,134168.35545694476,139976.252681547,120783.6508942324,104289.07628217607
2025-09-18,134460.0879435339,140280.61372196625,121046.27999700913,104289.07628217607
2025-09-19,135096.2287270317,140944.29185045385,121618.9590467888,104289.07628217607
2025-09-22,134360.82000803025,140177.04866315704,120956.91508211524,104289.07628217607
2025-09-23,133933.34220555186,139731.06614595558,120572.08268640065,104289.07628217607
2025-09-24,133315.44011224684,139086.41622645446,120015.82282564297,104289.07628217607
2025-09-25,134079.21463145327,139883.25311640554,120703.40280361581,104781.66995023174
2025-09-26,134456.03215344355,140276.38236430686,121042.62881463679,105076.14936920193
2025-09-29,134962.5113061876,140804.78605250135,121498.58134503712,105471.9581570545
2025-09-30,135422.39833374758,141284.58072953575,121912.58980476976,105366.48619889744
2025-10-01,135578.38550444745,141447.3202931728,122053.01561460862,105366.48619889744
2025-10-02,135576.36997461598,141445.21751482377,122051.20115507602,105259.55488415979
2025-10-03,136062.58254212205,141952.47731520206,122488.9089052682,105154.29532927563
2025-10-06,135558.13128442317,141426.18930583727,122034.78196605404,105154.29532927563
2025-10-07,136366.47003376848,142269.51952811875,122762.48042350839,105154.29532927563
2025-10-08,135971.4138215854,141857.36207123092,122406.83522346542,104744.81170915205
2025-10-09,132296.41048683695,138023.2747140571,119098.45212293738,101913.79361858615
2025-10-10,134326.3705226898,140141.10792401372,120925.90229525745,103477.56188249131
2025-10-13,134162.27177180926,139969.90564505794,120778.17412067388,103351.14933532722
2025-10-14,134757.89175004483,140591.30889839388,121314.37474169082,103247.7981859919
2025-10-15,133840.1579551837,139633.84812363543,120488.19454506529,102442.11108412326
2025-10-16,134599.8766842998,140426.45365592715,121172.12334066577,103023.60464801206
2025-10-17,135999.77962179034,141886.9557738852,122432.3712367647,102920.58104336404
2025-10-20,135997.75172674516,141884.8400950555,122430.54564557852,102920.58104336404
2025-10-21,135290.70880794866,141147.19061041292,121794.03769420423,102283.11854648685
2025-10-22,136092.97623737218,141984.186696686,122516.27050975364,102889.652545109
2025-10-23,137205.2024783639,143144.5591318842,123517.54048544819,103730.52306356687
2025-10-24,138823.90787209972,144833.33525527682,124974.76299154306,104954.3043353048
2025-10-27,139192.62617912304,145218.01468834007,125306.69776947291,105233.06448550153
2025-10-28,139259.48488954507,145287.76758731634,125366.88662034877,105283.61132248848
2025-10-29,137727.89242625562,143689.87535023547,123988.08661368433,105178.32771116598
2025-10-30,138179.66787363493,144161.20731195112,124394.79270867226,105178.32771116598
2025-10-31,138438.99113514245,144431.75619253743,124628.24574743095,105178.32771116598
2025-11-03,136797.9912611235,142719.7205024989,123150.95286994176,105178.32771116598
